Order,Reviewer_Name,Date,Review,Sentiment Score,Sentiment Category,Related_to_Feminism
143,martinpersson97,17-Aug-23,i hope you wont let the title of the film fool you this is not some family movie for little girls it is an all around auteuristic film by the ever great greta gerwig and an instant classic cult filmit provides some excellent comedy and at the same time some very clever contemporary commentary on feminism and patriarchy from both sides in gerwig and baumbachs usual styles very wellwritten overallthe cinematography is very uqique one might say characteristic from gerwig but it has its own unique weird twisted style to it and i love itoverall a very fun film that is certainly deserving of all the praise and hype it has gottenlike last years everything and everywhere all att once this is truly a genrebending experience that i very much hope make it to the oscars it is both an incredibly fun and important film,0.9918,positive,True
145,mieriks,19-Jul-23,this movie about barbie who suffers a crisis that leads her to question her world and her existence is a good fantasy moviei liked the concept and it reminded me of the toy story quadrilogy 19952019 the dolls were living dolls but they were existing in their own reality separated from ours the sense of humor were present and i noticed that this movie was targeted for both children and adults in several ways its satire was well used and it was frequently entertaining throughout the runtime the attention to details was fantastic because of the script the action the minor details like eating and drinking and last but not least the sets and the effects  every visual element basically the characters behaviors were like they were controlled by kids but we didnt see the kids hands or like that they acted like they were played with and that was well executed i thinki think the story was alright the outer story in the first and third act was good the beginning contained a great representation of the characters and their story while the ending went deep into the inner story about the foundation of barbie and how barbie has affected people before but also how barbie should affect us in the right way today its all about accepting the life with its positivities and negativities but also to believe in causes and to put yourself in others shoes because thats how to live as a realistic selfcontrolled being the second act is a big part of a movie and i got mixed feelings about that act in this movie it had its meanings but i think much of what happened especially in los angeles was sometimes messy and unnecessary it was much smalltalk and i sometimes got the feeling that some scenes dragged the time anyway it didnt ruin the overall experiencein conclusion this movie delivers an imaginative and entertaining story the attention to detail from the script to the visual elements enhances the overall experience the movies satirical approach appeals to both children and adults making it a delightful watch for diverse audiences while the outer story is wellcrafted the second act could have benefited from tighter pacing nevertheless the movies exploration of barbies impact on peoples lives and the themes of acceptance and empathy are commendable despite minor flaws the movie succeeds in captivating its viewers and encourages us to reflect on our own existence and the importance of understanding others,0.9977,positive,True
146,gilliandawe91,10-Aug-23,wow i saw this movie on july 23rd and ive been thinking about it ever since right off the bat the first thing that has to be mentioned is the absolutely stunning and wildly impressive set design the backdrops the houses all of the set decoration in barbieland is perfection all of the travel sequences are so fun and beautiful and creative i would love to believe that barbie can help usher in a new era where we can go back to at least having some movie with real honest to god set design in a sound stage without so much cgi set dec is 1010next i have to talk about greta gerwigs clear love of cinema from the opening sequence that starts with a perfect 2001 a space odyssey parody which they absolutely nailed to a hilarious matrix reference and then the overarching clear love of old hollywood and especially those old school classic musicals the dance and musical numbers here are just an absolute blastthen there is the acting it almost feels wrong to say it but theres no denying that ryan gosling steals every scene he is in his comedic timing is a triumph and the fact that we havent gotten to experience more of this in his film history is a travesty margot robbie is absolute perfection the most obvious casting for barbie ever in the history of the world but dont let that fool you her balance between comedy and the emotional scenes are unmatched by anyone else here she really is one of the best actor of this generation the rest of the cast also absolutely kills it america ferrera simu liu kate mckinnon michael cera will farrell etc etc etc everyone holds their own in this incredible ensemble performance acting is 1010the music it is so iconic and obvious and perfect that we get a full original barbie album for this film im not always a hard pop music kind of person but it went so perfectly with this film that i had to order myself a vinyl copy but best of all ryan goslings performance in im just ken the dance sequence in this one is so freaking fun and good and hilarious i can only pray that it is nominated for best original song at the oscars so that we can be blessed with a live performance of this gem can you imagine it music is 1010and finally the script see how i managed to make it this far in the review without even bringing up what all of those insecure baby men on the internet seem to only be able to focus their tiny brains on this script is hilarious so smart and witty and deeply poignant and emotional it hits home so hard on so many points while still being able to poke fun at this doll that has captivated the imagination of children for the last 64 years i love that even though barbie has caught some heat in the last decade or so for destroying the body image of women everywherei personally did not find that to be the case for me i was perfectly happy to compare myself to all of the other fellow 10 year old girls in my age group to do that for me we are able to also look at how the ambitions of this doll all of her careers the fact that there was an astronaut barbie before there was a woman working at nasa etc then of course the dreaded wish to take down the patriarchy if anything in this movie seemed false or offended you i dont even know what to tell you this felt like a very real and true example of what its like to walk through this world as a woman so many women have shared america ferreras monologue and the entire set of scenes after that were some of the funniest scenes in the entire movie and i say that as a big matchbox twenty fanall in all this movie for me is a masterpiece its stunning hilarious emotional and the most fun i may ever have had in a movie theatre cannot recommend strongly enough easily my favourite movie of 2023 cant imagine how anything else could come close,0.9993,positive,True
147,misscattik,7-Aug-23,the title of the review practically sums it all up with the highest potential in style aesthetics cast and concept the movie fails spectacularly when it comes to the deliverance of its main idea and its not feminism that bothers surely not its the artistic language in which the idea is told  harsh manipulative abusive straightforward and unkind instead of aspiring the audience to think and reflect it shoves the manifestations down your throat and in monologues that are generally painfully awkward to watchhowever the opening scene is great if you know the reference of course and there are some funny moments but they seem to go against the general idea rather than to support it,0.1396,positive,True
148,jace_the_film_guy,30-Aug-23,"i saw this movie a month ago and ive had a hard time gathering my thoughts for a review i think that i need to give it another watch that being said my reaction from my first viewing is mixedon one side there are so many positives about this film the casting is spoton with margot robbie and ryan gosling perfectly fitting their characters the visuals in barbie world are vibrant and exciting the humor is excellent and made me genuinely laugh out loud not to mention the brilliance of allanon the other side the film has an agenda and they push it hard the message of female empowerment is strong but at times it crossed over into preachy territory my theater hardly laughed and the entire row in front of me walked out about 34 through while i loved the moments in barbie world i did not enjoy the scenes in the real world or anything with will ferrellat its core this movie is a powerful reminder of what life is like for a woman ie america ferreras monologue and a call to action for me unfortunately the inyourface approach might alienate some rather than inspirebest character ken though allan was brilliant
best quote to be honest when i found out the patriarchy wasnt just about horses i lost interest  ken
best scene the intro to barbie world
best song im just ken",0.9956,positive,True
149,JonathanWalford,24-Jul-23,the movie has a very clever intro a charming setup filled with sight gags and some hilarious lines especially those spoken by the narrator  helen mirrenhowever its essentially about a town of marginalized and emasculated men the kens and when they discover they are only disaffected props they create a toxic patriarchy although we never see how they do it the barbies then manipulate the kens using feminine wiles and playing dumb to coerce the kens into a war with each other to distract them back into submissionadding to a magnum of plot holes and an ending that takes way too long is a weird pinocchio twist when barbie only becomes satisfied with her existence when she gets a vaginathis film panders to a pseudofeminist audience if you want to see a film where feminism is funny and wins in the end see legally blonde,0.9134,positive,True
153,ianshumway,22-Jul-23,for starters this movie was made by women for women i was not the intended audience which is fine but i feel like there is a good story somewhere hidden here or there could have been one that everyone could have really likedthe movie is well made i could tell that the people who made the movie liked barbie and knew their stuff and that bleed into the movie it has a cool set lots of creative choices and has good actors with some genuinely funny gags and jokesthe cons some movies are great pieces of art where you cant nail down what exactly the movie is about or trying to say the classic disney movies like beauty and the beast peter pan pinocchio are good examples where they more about exploring ideas and themesthen there some films like atlas shrugged where you know exactly what its trying to say from the getgo this is one of the those films except it doesnt just focus on one message but three or four awkwardly placed one after another this film felt like a first draft and could of used a couple rewrites to tighten it upi dont think this film could ever decided what it wanted to be and it tried to be too many things at once making it a little nonsensical and all the main characters were brought together in a very inorganic way there was even this car chase scene in middle which i believe they wrote in for strict purpose of doing a car commercial for chevroletalso there were some very weird parts of the movie where the messaging was just wrong in so many ways ill just give one example and finish on that at the end barbie is sad because the patriarchy won but is roused when the mom did a rant about all the problems women have but she is wrong everything she listed werent women problems they were people problems thats life i sorry but its not the fact you are a women that you struggle with being either a respected boss or a liked boss go talk to machiaveli these are problems everyone hasanyway thats my review i hope its balanced and fair and gave you a good idea about what this film is ,0.9918,positive,True
155,sandy777,21-Nov-23,barbie a movie about the beloved doll and all her identities and her friends what could go wrong a lot apparently it started with voice over narration and went downhill from there there was too much telling rather than showing most of this movie constantly explained everything and often told me how i should feel about it the writing felt like it was trying too hard to be profound and tried to oversimplify complex subjects and gender roles there were some funny moments but a lot of the humor and story were far from subtle i never felt drawn into the characters and what they were experiencing the story lacked stakes i didnt care about barbie or ken in the right hands this movie could have been fun but barbie didnt seem to know what it wanted to be or what story it wanted to tell,0.791,positive,True
158,anthonywltrs,21-Jul-23,this movie wow just wow this was unlike anything i had expected going in to seeing barbie earlier today i figured by the trailers alone it was going to be a fun popcorn movie filled with adventure and eventual romance between barbie and ken with it ending with them getting together beating bad guys when crossing into our world and living happily ever afterboy was i wrong holy moly barbie hits deep and can be thought provoking at least to me it was deep and thought provoking i mean seriously this isnt a typical fun popcorn movie yes it is still fun and pretty damn hilarious at times but the themes it was showing throughout the story with it being the following  self identity discovering who you are as a person and want to do in life it is ok to be imperfect to be weird kooky dark its ok to not live up to anyones expectations in life or those around you just be you and only you self love willing to accept change even if you dont like it theres also this indepth battle between patriarchy vs matriarchy with some feminism thrown into the mixits funny heartwarming filled with unexpected surprises and im sure for all the hardcore barbie fans who collect the dolls and merch it has all the easter eggs and classic accessible shown through this brilliant moviemargot robbie and ryan gosling did an exceptional job as barbie and ken giving us pretty complex and deep characters with them both growing and developing over time ryan gosling as ken especially is definitely one of the main highlights of the movie as you can tell he had fun in the role as ken,0.9931,positive,True
159,abeburnett,21-Jul-23,oppression is a state of mind even when objectively you are oppressedthe biggest problem with this movie is that it leans hard into both the feminist fantasy of oppression by men as if were some sort of ruling cabal who coordinates to keep all women subjugatedtalk about intellectually lazy and the only acceptable man is an allen wimpy effeminate man this movie couldve provided a compelling argument for unifying the sexes or how men and women complement each other but no instead in the final act it chooses sides and the side is comes down squarely on is the antagonist side the equity side the side of well do unto others as you feel in your hyperoppressed feeling state theyve done unto you you feel like the kens have done you wrong so you oppress them in return never mind the barbies oppressed the kens for the entire time before the time period of the movie and the entirety of the first act but no the kens get out of line for the second act so they must pay equity demands retribution so all men excuse me kens must paywhile i laughed and enjoyed the first two acts in the end i felt thoroughly disappointed angry nauseated if they had finished the movie as brilliantly as it began it wouldve been a 1010 but they couldnt resist making it propaganda i guess the jokes on me for taking our girls to italso theres a monologue in the third act which couldve been brilliant if the writers had been enlightened enough to recognize that that is how all humans feel not just women men too every man ive ever known has feel the weight of crushing expectations from society from women from other men its not just a woman thingoh and then the last 510 minutes or so were almost like a different movie it just didnt line up with who barbie was and what this movie was about for that particular ending to occurin the end this ken me cannot recommend this film to other kens unless youre the kind of liberal  progressive man who believes the whole women are oppressed narrative then youll probably love it every other guy though or the women who love them id recommend taking a pass on this one or watch the first 75 and then leavebottom line this is every bit as toxic as some forms of masculinity this is just toxic feminism and i say that as a feminist,0.9106,positive,True
161,neil-476,26-Jul-23,everything is perfect in barbieland every day is identikit pink perfection for all the barbies and also for the kens as long as theyre getting attention then stereotypical barbie starts getting dark thoughts which can only be due to the human who is playing with her in the real world so accompanied by ken barbie sets off through the rip in reality to find the relevant human only to find that the real world is not at all like barbieland and ken discovers patriarchy and horsesas a film this is an enjoyable mess it aims to be toy nostalgia for little girls of all ages escapist silliness wild fantasy social satire with wellstaged musical production numbers in fact a bizarre mix of elements which shoukdnt work together but somehow do its bright colourful tuneful quite funny well played sometimes thoughtful and thoughtprovoking mikdly feminist though not without taking pokes at feminism and vacuous femininity as well as toxic masculinity and broadly goodhearted helen mirrens narration is dry and funny and the last line is a killerlooking at the film as a social phenomenon i have two observations one a lot of people have got their knickers in a twist and they are mostly males who feel very threatened by the mildly feminist message in this movie about dolls this film is not is big a deal as it thinks it is and its certainly not as big a deal as wounded males seem to think it is two the cinema was packed twothirds female and the audience seemed to enjoy it the only films i have seen filling cinemas in recent years have been aimed at female audiences no comment,0.9807,positive,True
163,zoeyrea,27-Jul-23,i have seen this film in theaters twice now and i can safely say that i thought it was amusing entertaining and fun however i wont lie to you and say that its really all that groundbreaking as some seem to claim while this movie focuses on heavy topics such as inequality and feminism some of the scenes that had primarily concentrated on them had felt a little shallow i am not saying that this wasnt a great film as said before it delivered most if not all of the checkpoints that modern day society defines a good movie with now i cant say that i wasnt entertained mostly through the movie but it just lacked something the longer this film had stuck with me the longer it felt insufficient people that are currently speaking on this movie seem to pin up its success in presenting femininity and womens issues in a lighthearted and joyful manner however i feel that the overall message in this movie could have been provided in a more severe tone the creators of barbie stated that this was an everyone movie that this film was designed to cater to all viewers but did it have to the laughable tone this movie brought along with its own narrative of modern day feminism sort of cheapened the message dont get me wrong all the acting in the movie was phenomenal for the roles each actor portrayed but it felt like some of the plot had gotten lost in translation even after watching the movie twice i still am a little fuzzy on the entirety of barbieland where is this really set why it is a common occurrence of dolls making their way into the real world why do barbies know theyre toys i might just be inattentive but these plot point were rarely touched on through the film and still leave me confused overall i think my main issue with this film is my regrettable rating i really didnt want this movie to be below a 9 i was really looking forward to this film and eagerly waiting to do anything to see it in theaters again but it turned out to be just ok a word i can describe my expectations for this movie is iconic but it just fell flat in that department would i recommend yeah why not but would i jump at the opportunity to see it again ever probably not,0.976,positive,True
167,walfordior,30-Jul-23,barbie is no longer just a toy rather this idea of barbie has evolved into one of the most famous and significant topics in the world at this moment in time it is so much more than merely a toy it will not longer be just a toyi must admit as i waited in the theatre for the movie to start showing i had my doubts so many things scanned through my head one was that this movie will just be a lighthearted comedy another was that the marketing for this movie is way too extravagant for a comedy and one of the biggest was that i would lose interest in this movie soon because i tend to lose track of comedies as it is really difficult for comedy films to impress me boy was i wrongwhere do i startto start off with this is not just a comedy movie would everyone in the theatre have been in tears by the time the movie ended if it had been a simple comedythis movie is appealing to spectators of varying ages because of its heartwarming plot a plot that touches everyones heart a topic that is heavy in nature but simple in the showcasing of this topic throughout the moviebarbie focuses on the story of stereotypical barbie  ken barbie starts to experience strange thoughts and strange symptoms which causes her to travel to the real world with ken to find the child who is playing with her doll and to fix the issue when reading this plot it is easy to imagine that this is just a comedy action simple film etc however this is only the plot the storyline is very differentthe opening scene itself focuses on a rather heavy topic of childhood stereotypes a new generation etc with barbie margot robbie appearing and the one of the little girls smashing her dolls to pieces this was a very symbolic gesture to add right at the beginning of the film it is is symbolic in the sense that the young girl smashing her dolls represents a new generation in which dolls are not played with it may also represent girls smashing or declining their dreams due to female stereotypes a topic that is heavy in this film  i liked that gerwig made it clear in the first 10 seconds of the movie that this film is not one to be taken lightlygood comedic scenes are present throughout the film such as the jokes about alan however even though alan being on his own and not many people caring about alan are seen as comedy  i feel that there is much more behind alan and that making his scenes comedic are just a barrier and that gerwig wants spectators to take apart these scenes and to analyse what is behind that wall that being alan may represent women in the sense that in this maledominant world women are constantly feeling pressured and alone and not listened toi like how gerwig didnt make a whole new concept of barbie this added to the topic of childhood and simplicity i particularly liked how when barbie floats from the top of her dream house to her car this was symbolic as when young children play with barbies that is how they get their barbie doll down too they bring the barbie down as if it is floating i really liked this detail had innocence to itfurther on in the movie the topics start to get heavier for example when barbie meets sasha sasha described first world problems such as feminism here gerwig had suddenly brought in these topics without warning again i liked this because it shows how suddenly this world makes decisions regarding womens rights and how quick this world is to judge womenkens storyline was also an intricate part of the movie the 2nd half of the movie is solely based on ken wanting to not just be ken and barbie but wanting to feel important in the end ken realises that he is important too gerwig does this really well although this movie highlights topics relating to womens rights the end juxtaposes that in a sense and just shows that everyone is equal and that was a nice message to finish the film offthe ending montage of childhood barbies children etc was a really heartwrenching moment a great way to end the movie gerwig played with emotions here spectators started off the movie laughing and ended in crying great way to showcase opposing topicsall in all fantastic movie,0.9972,positive,True
170,tiannac-75060,1-Aug-23,when i first heard about this movie i didnt want to see it then i watched the trailer and my mind was changed instantly margot robbie as barbie could not have been a better casting choice ryan gosling as ken was just chefs kiss its a wonderfully beautiful and talented cast its charming funny touching powerful and overall perfect the soundtrack is fantastic ive been listening to im just ken on repeat for days now the diversity and representation within the cast is beautiful and so exciting to see in a movie as big as this one greta gerwig and everyone who worked on this movie absolutely knocked it out of the park,0.9911,positive,True
172,madisonsolomon,6-Aug-23,this movie made me laugh and cry it was a beautiful commentary on sexism and the patriarchy and how it affects little girls while still poking fun at it all it also spreads a really inspiring message about mothers i personally wouldnt show this movie to a child too young as there are a few jokes about how barbies dont have genitals one bleeped f word and a few mentions of beer it was a little depressing but overall very inspirational despite of course the discussion of misogyny i laughed through the whole thing it was hilarious it addressed also how adult womenmothers feel self conscious about not being perfect it was beautiful and id watch again,0.9663,positive,True
174,gokulmadhu-37537,23-Jul-23,this movie was supposed to be fun light hearted watch but turns into an obnoxious headache filled with political message on and on and onthe only relief is honestly ryan goslings ken who made me crack up multiple times and he lives as ken to be honest there is no ryan gosling anymore its just ken and he was the protagonist for methey really show men as cowardly stupid needy power hungry and so on and on when they showed the real world they could have shown the good and bads parts of it but only the so called patriarchy was shown like come on as if its not already clear for us as audience that all men are horrible and mistreats women we are treated with many monologues of feminism you would at least think they would go for true equal rightsthe thing which actual feminists used to fight for at the very end but nooo the men get satisfied with just 1 seat in that institution instead of it being half and half,0.1088,positive,True
175,hmbrisbo,26-Jul-23,this might just be the best movie ive ever seen the more i think about it the more i realize just how genius it is i mean they really thought out every little detailmy favorite part is that if you love this movie you get the movie and if you hate the movie you also get the movie it truly is a movie for people who love it and hate it its for everyoneid like to talk about the genius of this plot for a moment we start off in a matriarchal society however its a society created by little girls so the barbies are not violent towards the kens they just arent obsessed with the kens the kens are just in the background this is representative of how children girls feel then we go into the real world and we are introduced to a patriarchal society but not just any patriarchal society its a society created by adults so we see toxic masculinity and we see violent tendencies then we go back to barbieland and ken brings all of his knowledge of the patriarchy with him he creates a toxic meninist movement which emphasizes the point that extremism is not the answer we cannot overcorrect a mistake or it will cause more mistakes the kens start to become violent even towards each other this is a good representation of what women deal with in the real world we cant even rely on each other sometimes women can be hateful towards each other as well finally the movie comes to a close with barbie taking a small step in the right direction she says it doesnt have to be barbie and ken its barbie and its ken now heres were people start to get pissed barbie just got done saying that the barbies and kens need to start living as equals but when when of the kens asks to be on the supreme court the president barbie says no thats too far lets start with maybe a cabinet member or something wow how could they just kidding youre supposed to be angry about this this is an accurate representation of the real world the movie literally ends with the barbie world being an exact replica of the real world only with the gender roles reversedanother thing id like to point out is that even ken says at the end that he didnt really like patriarchy anyway he just wanted to ride horses again this is because he is a doll in a world created by children i think theres a lot to unpack here but my overall take was that the world is a better place from the pov of a child and adults are the ones who are ruining everything even mattel is kind of shown as a bad guy in the movie but even they say they didnt make barbie for her to become a sexualized standard they made barbie to allow girls to dream of more than just being a mother with barbie they can be anything they want to be it wasnt until adults came along and taught us to sexualize barbie that we started to hold her to a different standardi think most people watch this movie and see the beauty and the genius of it i think a few hateful people will watch this movie with their tainted glasses and their preconceived biases and they will get very close to understanding it every person ive see criticizing this movie im like youre so close to the point youre basically running head first into it that is the most frustrating and the most gratifying thing about this movie its a trap you cant say hateful things about it without proving the point of the movie,0.7437,positive,True
195,atomeckova,23-Jul-23,to me barbie was a wonderful exploration of feminity and womanhood while also encompassing themes of patriarchy and the entitlement of men i wasnt really sure what to expect beforehand but i was truly enjoying it and smiling nearly the whole time it pains me how all women and girls will be able to relate to some of the scenes and it angers me so much how men seeing this movie just hate it for the sake of hating something pink and funmen aside i do think it healed something in me however clich it sounds and i will gladly rewatch it would definitely show it to my future daughter if i planned to have one i think its an incredible celebration of femininity and i think women deserve to enjoy every second of it without having to worry about anything or anyone else 3,0.877,positive,True
196,danieljfarthing,12-Sep-23,the colourful  musical barbie is set in the plastic uptopia of barbieland  a helen mirren narrated dolls world of stereotypical barbie margot robbie token kens like ryan gosling with his token michael cera  john cena empowered barbies like issa rae  alexandra shipp and weird barbie kate mckinnon  into which existential confusion seeps with mattel ceo will ferrell via a portal to the real world thru america ferrera great greta gerwig directs with striking bright vibrancy but her cowriting with noah baumbach is bogged in its struggle against the patriarchy theme despite a light veneer its fun  but with a heavyhanded message,0.7615,positive,True
197,yftdmvzz,5-Aug-23,this is quite possibly the most overhyped movie ever the plot is forgettable and alot of the films plot points contradict the overarching themes barbie was horrified by the patriarchal society in the real world however when she came back she helped create a matriarchy by appointing all positions of leadership to barbies and refusing to let kens sit on the senate the kens were objectified throughout the movie not being given any validation but when they took over barbie threw a tantrum and refused to sympathise with them also the barbies had no objection to the kens instilling a patriarchy and rolled over immediately conforming to their rules without a second thought they were meant to be these strong feminist characters but they did not have a mind of their own and it took the monologue of a side characters superficial problems to bring them to their senses these issues take away from the meaning of the film and overall the idea was executed poorly the movie has some plus points being an partially enjoyable comedy but is not worthy of the 8 ratings an excruciatingly mind numbing movie with some moments of laughter wait for this one to release on dvd or streaming platforms,-0.8836,negative,True
200,huey2088,11-Aug-23,i was never into barbie as a child because i thought shes just a boring toy the operative word being  toy so when the controversy started about her impossibly small waist sky high beauty standards white skin and blonde hair i thought some people just have too much time on their hands or because theyre just jealous at someone elses success its easier to blast someone elses hard work rather than strike it out on your own and keep doing itthe way children perceive toys remain unchanged a young child who picks up a barbie will not immediately think if at all they must aspire to have the dolls physique children play with toys out of enjoyment and by using their innocent imagination they dont think about the underlying message or intention behind every toy the politicising comes from some adults who can scream the loudest and longest ruth handler created barbie after seeing her daughter playing with a paper doll she wasnt into politics or trying to change cultural standardsgerwigs barbie is an example of an adult using a doll to scream her many many lectures to the masses the movie looks like its for children and teenagers but the script is the opposite this is where it becomes confusing and the storyline thin too many speeches aiming at the patriarchy control pointing out that its a sexist world controlled by men but showing all men in this movie as idiotsthe portrayal of men is very black and white stereotyping barbie robbie goes into the real human world and shes heckled by men at the beach and if thats not a clear enough message she visits a construction site where you guessed it the men starts to make derogatory comments as well then theres the mattel hq where its of course run by men in suits who are naturally idiots one of the lower ranked male employee swindells even say im a man with no power does that make me a woman whats with half of the sex education actors cast in this movie the brilliant ncuti gatwa playing a hetero kenat just under two hours you can guess why that is  theres not much else going for it so the soundtrack plays a big part in driving the narrative to the point youre wondering if this is a movie or a music channel the second half descends into a weird but clumsy attempt at humour that a child would find boringrobbie and gosling do a decent job with the flat material they were given barbie is an iconc doll and thats all she is a toy  so a movie keeping to that theme without the controversy would have been more entertaining and in case youre so numb from all the preachiness the trump and his wall sideswipe under a guise of a joke shows how the writers just wanted to cover as many isms as possible by using barbie as a prop,0.9375,positive,True
212,liefie2000,20-Jul-23,how did i go to watch barbie only to have seen a mildly depressing unecessarily deep movie saturated with politics and talk of mental health the plot made no sensefor someone who has grown up and loved watching all the classics it was a disappointment most women like to watch feelgood chick flicks as an escape from reality and for the same reason girls like to watch barbie but it was nothing like that and instead i left the cinema feeling literally depressed as a little girl not a single part of me thought the old barbie movies presented a barbie who wasnt a strong figure and yes you can be strong while being in lovethe way the movie was filmed was truly a work of art but the plot made no sense despite them trying to constantly spoonfeed it to usin barbie land the women the barbies are in charge and have everything while the men the kens are nobodies with absolutely no power and are treated like nobodies they dont even have houses when barbie enters the real word she realises its the complete reverse youd think that barbie would then realise that how she was being treated is how the barbies were treating the kens then go back to barbie land and fix it instead when she goes back to see ken turning barbieland into kenland because the poor sod had a taste of what it feels like to be appreciated when he was in the real world she has a crisis and then gathers the barbies to manipulate the kens into fighting each other so they can take back their power then instead of apologising to ken who was genuinely in love with her and had no true bad intentions the entire movie  he thought the patriarchy was about horses about how she constantly brushed him off like an annoying child every 5 seconds she simply apologises for not spending some time with him then continues to reject him and tells him he essentially needs to find himself then she wants to become human despite fighting to maintain her perfection throughout the movie simply because someone told her its ok to be imperfect  and i get what theyre trying to achieve here but i thought there would be a deeper reason perhaps there are things about being an imperfect human that are valuable such as having empathy or maybe make it obvious that she was becoming a more realistic role model for little girls by becoming human with cellulitei get the intention of the movie but it really didnt have to be that deep i really just wanted to have fun at a barbie movie the last thing youd want to go watch after a long day at work or school is a movie about a silly fight between men and women politics patriarchy death depression and anxiety the beginning of the film was fun but that fun didnt last long but people are probably gonna call us the brainwashed barbies because we actually want men to be our equals,0.8813,positive,True
216,micheleiodice,13-Sep-23,a very confusing plot underdeveloped characters and a haughty attitude to glorify the plastic doll in all possible ways mixing patriarchy feminism womens rights gender equality sex etc etc mattel did everything they could to ruin a good concept but i am sorry its just a plastic dollthere are some interesting points like the emotions of barbie and ken when they visit the real world for the first time but they quickly move away from it and is not fully developed the way they move in the barbie world is it children moving them in the real world and speaking for them notdeveloped the weird doll what happened to her how does she feel notdeveloped the mother and daughter role whats their purpose notdeveloped the ceo and cfo whats their story whats their purpose notdeveloped that alain dude notdeveloped,0.6812,positive,True
224,jgeorge4,22-Jul-23,this was a very fun very engaging premise i dont know if id call it groundbreaking since its a little derivative of toy story and extra guy but this definitely works the scenery and cast are great and the movie bristles with energyi just wish they kept this a little more lighthearted and a little less preachy there are countless movies that lament victimhood and discrimination and countless movies that showcase estranged parents and children magically reuniting through remarkable events but how many great comedies are there these days how about for once just keeping things light and entertaining the patriarchy seriouslyregardless i think most of the audience loved it and i think most of the women wanted to stand up and cheer during the moms big speech its a visual feast with just enough laughs and a lot of star power and you will probably be glad you went,0.9946,positive,True
