Order,User Name,Date,Time,Like Count,Comment,User Link,Sentiment Score,Sentiment Category,Related_to_Feminism
60,@user-cq3tz3vy3x,22/9/2023,13:22:02,0,yeah i can see how its a very woke film but there is also a lot of messaging about the satire of the patriarchy and the matriarchy it showed how both didnt work also others have pointed out that the real worldthey went to was not very representative of our real world today at least not entirely,http://www.youtube.com/channel/UCgjTfsbWvhpHljSKQq_w21A,0.1531,positive,True
64,@the1magageneral323,21/9/2023,1:57:45,4,barbie is for loser feminists women who are miserable people this was manhatting propaganda and making the same tired excuses of women can do no wrong if they were in power a female leaders has started more wars than men so spare me that president barbie is a dictator and is sexist towards the men b feminism was never really about equality but power and control  this film is taking away attention from a real important film like the sound of freedomwhich should win awards dear men regardless of what your girls want to see this film stand firm and tell them no this film is insulting to men and women,http://www.youtube.com/channel/UCPHTKYtBa306Ro-fK_JyuIw,0.8009,positive,True
70,@GrimGatsby,19/9/2023,12:37:55,0,"i think you were looking at this movie from a very surface level skin deep perspective if you really analyze the dialogue character portrayals subtext in many of the speechessongs and how the barbieskens perceive their world youll come to see the movie is actually a parody on modern wokenessfeminist extremism and instead promotes real equality without having to tear down social constructs or rewrite gender roles to do it they did a very good job of writing the barbie world in a way that from a character development standpoint you could swap the kens out for women in the 20s50s and the barbies for privileged rich powerful entitled men and the message would be the same the whole point was to reverse the stereotypical roles men and women have had in history to help both genders empathize with each other and find some common ground instead of vilifying each other it also subtly pokes fun at the ideologies and agendas of modern feminist extremism 

ken is from a world where he and every other man is objectified and belittled the writers make it clear with a line in the movie that directly states the barbie society was built on the backs of the barbies barbies have all the positions of power and authority the only role the kens play is to be an accessory but as the main ken is exposed to the books about the patriarchy that show him a world of men being in charge he feels empowered for simply being a man and goes on to lead a movement back in barbie world where he and the other kens overthrow the matriarchy even though its ultimately at the expense of the barbies they accomplish exactly what the man hating feminist extremism of our world has been trying to accomplish but gender swapped so what do the barbies do they turn the kens into the male equivalent of pickme girls attack their self esteemself worth and set the rest of them against eachother so barbies are working against kens and kens are working against kens sound familiar women hate woman and men hate women its the one thing we can all agree on the line from the insufferable radical feminist anticapitalist daughter another parody on modern radical feminism who by the way ironically goes from wearing baggy clothes no make up  and having a generally a tomboyish look to literally wearing a very girly pretty pink dress with make up and jewelry towards the end of the movie

as for the main barbie shes a representation of the current status quo when it comes to modern day social standards for gender roles in the climax of the movie her self image is brought into question as the social norms of her world that once made her feel confident about her looks personality and place in society are repeatedly challenged and eventually dissolved when she tries to speak out against these changes shes ostracized and ultimately vilified by ken who after robbing her of her agency essentially asks her how it feels to be trivialized and disregarded just like he was its not fun is it then in the classic hit the road jack fashion ken goes on to toss all her stuff out of the window eventually the barbies get the power back from the kens but by that time the main barbie has became disillusioned with her place in this world seeing the flaws in the one sided society theyve been living in 

in the end of the movie when ruth whos obviously an allegory for god takes barbie away she explains in essence that being human is uncomfortable she doesnt specify a gender she basically states that humans invent ideologies and radical social standards out of fear and hate in order to cope with the discomfort of living in an socially underdeveloped society thats constantly picking itself apart over things as trivial as gender or race this movie is trying to dispel the notion that being a role model for woman in modern society has to mean being a strong independent glass ceiling breaking girl boss with no weaknesses or dependencies on men that youre contributing to the marginalization and oppression of woman whenever you acknowledge the strengths and weaknesses that make men and women unique from each other that a woman embracing her femininity is weak and a man embracing his masculinity is toxic 

this is actually an antiwoke movie promoting equality masterfully disguised as woke feminist propaganda just gotta read between the lines",http://www.youtube.com/channel/UCr0rUod55GHHvsJ_YFi11Bg,-0.9189,negative,True
82,@zachnaulak,17/9/2023,11:28:42,0,man sneeze  patriarchy ,http://www.youtube.com/channel/UCSWJThcdRoVXWA5SIiDKKBA,0.0,neutral,True
84,@AI_effect,16/9/2023,23:34:46,0,"the barbie land matriarchy was real the real world patriarchy wasnt barbies flatly refused to have kens on the supreme court or any position of real power the entire movie was satire and really a sad story for barbie
she was eternaly happy and perfect until someone burdened her with their own darkness and gave her the gift of death",http://www.youtube.com/channel/UCZ338ZrlZ1gFTn0aROxLeaA,0.5872,positive,True
91,@shoos9315,16/9/2023,17:12:16,0,"131 misandry is the word the lady is looking for it is the male counterpart to misogyny 
collins dictionary definition of misandry hatred of men",http://www.youtube.com/channel/UCNVCd5Nmp0-IU74HsD35sGA,-0.6369,negative,True
92,@Biswanil,16/9/2023,5:31:34,2,this woman is clearly immature you child have a lot to learn about the world and its history i do hope you travel to some of the third world countries and enjoy the patriarchy that you love so much,http://www.youtube.com/channel/UCjlfYK-G20d1XdF7EkNV0zg,0.9186,positive,True
96,@chookitty5219,15/9/2023,2:23:31,2,i love the actors i love barbie land i love allan i love how the movie ended i love that barbie and ken have found their new purposes and humanity outside patriarchy and barbie land this movie just shows us that life is not about one thing it is so much more definitely the real world in the movie is not like that the real world is more complex challenging and full of adventure its not going be perfect but well always find something to live it better in our own ways its more than just patriarchy and barbie land the movie couldve been better if its more honest to itself,http://www.youtube.com/channel/UCL37GXzShH9mj1Y7xLoxVSw,0.9816,positive,True
105,@henriqueacabral,13/9/2023,14:07:36,1,"i just watched it and i didnt find it the wokest film that would be the little mermaid yes it has feminism and patriarchy blatantly obvious but its actually a movie about self identity not just barbies but also and i would argue at least of kens at the same level self identity goes against woke ideologies that pack everyone together as a group and use them either as victims or oppressors on their favorite narratives i rolled my eyes at some lines but found it very meta very sarcastic and ultimately self aware of the issues theyre touching on even the real world characters that are so woke are played so with heavily satirical that you cant really confuse the message with proper activism
9 out of 10",http://www.youtube.com/channel/UCXq9vpXloV7FMiGJCl1VT4A,0.2836,positive,True
110,@armantopaz472,12/9/2023,23:11:37,1,i understand your explanation but its superficial the true meaning is how girls see a utopia of the world when they are little and gradually they see the dark side of it and grow up to puberty the sexual harassment and toxic patriarchy  is actually a symbol of this dark side if you watch the movie on this perspective all the movie makes more sense and its not that antiman i recommend watching screencrush channel barbie movie breakdown to understand my point of view on the movie and one last point do you really expect barbieland which was created solely for little girls to be ruled by men at last,http://www.youtube.com/channel/UCVHroTcsPanpYT2vWutQ4NQ,0.5719,positive,True
120,@odinakaugwu6671,10/9/2023,22:30:19,1,"i enjoyed the film very much although i understand the perspective you presented on the messaging and the apparent feministlean the movie had i couldnt help interpret this to be more satire than genuine critique

i thought the movie presented the world through the lens of a hyperfeminist all men are dumb and incompetent  in an ideal world women control everything yet did not itself believe or celebrate these ideas

this is particularly evident when theres the more mature encounters between barbie and ruth handler  even between ken and folks he interacted with in the real world

on kens side although he discovered greater appreciation for masculinity he also quickly learns that just being a man isnt enough noone was going to let him operate on patients without a surgical certification and he would not be offered a job in a highpaying position without the appropriate qualification

meanwhile when barbie speaks to the insufferable teen ans her mom theres the obvious bias against men  capitalism and an undertone of female oppression from the patriarchy yet when she speaks with ruth theres much less of that and the conversation is steered in a much more enlightened mature direction ruth literally admits that patriarchy isnt real but is a made up entity created to deal with the discomforts of life

why this movie strikes me so much more as a satirical take on feminism than an empowering polemic is in its lack of nuance in portraying the male oppressors and female victims 

both factions were painted as largely incompetent requiring the validation of the other fragile and easily programmable 

barbie at the end of it decides she doesnt want to be that anymore but rather be part of the people that create meaning not the thing that is made

how often do we find that extremists at both ends of the gender war can scarcely synthesise creative critical thought but rather regurgitate ideology stemming mostly from sentiment and often lacking in real substance

barbie invites everyone to do away with such subcortical thinking and fashion a more noble path for themselves",http://www.youtube.com/channel/UCuZnWYv6rneiSnrLT9kF7AQ,0.0355,neutral,True
131,@TheOncelersTruffulaTree,9/9/2023,19:36:01,0,i dont even care about the message of barbie why did they take barbie slap feminism on her and call it a movie its weird,http://www.youtube.com/channel/UCHdZKjRsyd8vVnPXdmAjpkA,-0.4075,negative,True
139,@Larrystinkface,8/9/2023,2:39:08,0,"i personally got something very different from this movie i ultimately enjoyed it

in my opinion barbie was having existential dread with the status quo and was also oblivious to kens quasihidden feelings of worthlessness not unlike how things were for women traditionally in american history before the sufferage

barbie found the patriarchy terrible ken found the matriarchy terrible we find out both barbie  ken also hate the matriarchy  patriarchy respectively  decide that the best way to move forward is to begin to forge a path toward equal rights while remaining open to existential feelings 

i thought that was a good lesson 

with that said i do agree that there was a significant amount of woke oriented humour  watching the sexism between the dolls just wasnt enjoyable

i was looking forward to more of a live action toy story or something when i heard they were doing a barbie movie  that it was geared toward all ages the story instead teaches gretas political views which in my opinion isnt what i thought i was signing up for 

art subjective",http://www.youtube.com/channel/UCPpB9QkqbwIDX1U-gDUYxAg,0.5986,positive,True
148,@FaZeAngela,6/9/2023,21:34:19,1,these are my thoughts this movie is feministpropaganda its objectifying both genders subjecting and discriminating not indicating the faults of no one but director and producer greta gerwig implied patriarchy and matriarchy battle in the movie and now people hate it because it gives the wrong impression to other people juveniles included and im with those people because theyre right its giving the audience the wrong idea about women and men and their femininity and masculinity dont get indoctrinated by watching this crap everyone some people may like it and enjoy it which i respect that but its an entitlingsexist movie for the warning ?? like come on its the 21st century everyone should know better on how the real  works and how politicians do their job,http://www.youtube.com/channel/UCWR7Wjthoa5LErumb4Mmrkw,0.0979,positive,True
155,@stutikhanna987,5/9/2023,11:21:48,0,this movie was a real eye thing and its not about woke mentality but shows our sick mentality the truth they shows is that whenever we enter into one particular thing like patriarchy or matriarchy we are bound to make other gender suffer in this process we talk about equality to failed to understand the deeo meaning behind it you cant bring equality by just making men and women 5050 in profession because the issue is that this will not help to create a better environment at all we need to focus on healthy society where we dont judge men and women for there certain choices doesnt mean we start supporting delusional bullshit no matter what men cant feed babies or they can replace maternal aspects for baby but doesnt meam youre totally ignored your responsibility as a father and husband same with women whether youre full time mother or wife doesnt mean youre not important or if you have a career youre a bad mother how hard this is for fully developed adults to grasp this concept that to have a thriving society we need to focus on make things healthy not a bullshit literal equal things,http://www.youtube.com/channel/UCwexJYOqx4khdJnA2UfXk2g,-0.8376,negative,True
158,@yosivuelo,4/9/2023,22:57:23,0,this movie was a very light way to talk about patriarchy and feminism the expectation was too high i really though that even the script was going to be smartest but it wasnt there werent deep thoughs about feminism women roles on society actually they showed it like a circus it seemed to me a big satire and i was dissapointed once again by feminism speech it reduced this complex situation in a love hate fight no closing ideas just a barbie going for the first time to gynecologist a joke,http://www.youtube.com/channel/UCLjtG6mQOPOav4HsnyOODBg,0.1531,positive,True
159,@luciusnguyen2449,4/9/2023,18:32:12,264,i think a lot of people miss the main point of the movie it was never about matriarchy vs patriarchy first remember where matriarchy exists in this movie barbieland  a dreamland for little girls that does not reflect the real world second by the end of the movie the old lady straight out said that patriarchy and barbielandwhich is matriarchy are concepts made by humans to cope with the discomfort of life third barbie herself in the end decided to leave barbieland to embrace the real world she even stated that she doesnt want to be the concept she wants to be human the main point was never about matriarchy vs patriarchy its about moving on from these concepts and working on yourself we can see in real life how people are so caught up in chasing social justice that they just want to play the victim instead of actually working on improving themselves to gain the power to change their own lives be like barbie stop chasing those childish fantasies while forcing the world to follow them embrace the real world for what it truly is and start working on yourself,http://www.youtube.com/channel/UC2UNVuAuK6uZUX4nM67k9ZA,0.9166,positive,True
174,@taraderrington,2/9/2023,23:54:58,0,like laurenchantel1482 i think you missed the metaphor which is just a simple reversal kens  the current stereotype of women and how they are treated in the real world uncool unskilled and just living to please the object of their affection barbies  men in charge of everything perfect having a good time  until a nasty fly in their ointment such as feminism  comes along to spoil things and injects fear and doubt into their perfect world the barbies men bamboozle the useless kens women by distracting them and making them jealous of each other so they fight amongst themselves the film tells us that men and women all need to be themselves and work out who they are as individuals and what they really want just as you clearly aspire to amala ekpunobi however most importantly this is a film that suggests ordinariness is beautiful it finishes with images of ordinary women especially mothers  living happy lives in the end barbie is going to see her gynaecologist  maybe men can be carers and nourish family too thats the only way true gender equality can be achieved women need to welcome men into the home space and men need to welcome women into the work space we can all have it all the main problem with this film is that brilliant greta gerwig has been too brilliant and people like you dont get the metaphor ill say it again barbie  men ken  women you are absolutely right about it attacking capitalism though thank god this film states very clearly capitalism is the main barrier to gender equality,http://www.youtube.com/channel/UCt1Nn568_b7ltlZYZ0dBgdw,0.9737,positive,True
186,@peacekeeperbabe,1/9/2023,19:14:04,0,how ironic  u record leaving parkstating stares as factor yet the idea that a patriarchy is a factor in society is nonsense   tattletale,http://www.youtube.com/channel/UC5UwEntVAQHUc13klJ3Zp6w,-0.4939,negative,True
189,@bordacsbalazs6014,1/9/2023,0:24:48,1,"most of the boys are telling that you are getting a so much preconsumed information from this movie no place for intellectualism
you think that the controversial points of its messenge is too much for example it contains hypocrete feminism
sometimes i think that yall are just trying to seek for some blemish to hate this movie can you just enjoy its humor and let go its to girlsdedicatence",http://www.youtube.com/channel/UCIbGK2b2YRKgdC-A9ccnB8Q,0.2023,positive,True
202,@sao.2416,29/8/2023,16:59:42,0,uhm i think you got it wrong at the part where you thought the movie promoted matriarchy over patriarchy because i walked away from the theatre feeling that the movie pointed out how problematic it is if in a society one group overpowers the other by showing the kens struggling in barbieland it reminded the very obvious thing that in the real world women are the kens the movie reminded me that a society where no single group overpowers the other is the ideal one of course like thats no news to me but that is what the movie made me think,http://www.youtube.com/channel/UCJ68wF7xb6H_nOyUra1A3-w,-0.25,negative,True
204,@puppylover278,29/8/2023,12:01:33,0,because men adore women men want to do right by women the patriarchy makes every dream of women come true and gives privileges to women  women get better rental apartments better health care and better mental health care and the court system is prejudiced in favor of women women can get cozy parttime jobs the education system favours women and the contribution of men to society gets devalued,http://www.youtube.com/channel/UCixthrlXBUQMi5uYUlx1SAw,0.9799,positive,True
221,@samgoswami9051,27/8/2023,17:09:20,0,i think barbieland is an ironic and a little exaggerated take on the real world women can flourish in the real world but we can not deny that they are only in minority when it comes to higher positions of power women do get catcalled and assaulted in the real world since barbieland could only be traced back to 1959 it may portray the reversal of the patriarchal status men have been enjoying in the real world for ages i think the message was not about upholding matriarchy it was a satire and it also shows how it results in making the kens turn against the matriarchal barbies by the end the kens were given chance to have some power just like women were given power by the patriarchy in the real world and just like a womans identity is not just someones wife or mother ken shouldnt have to be known just as barbies boyfriend because he is just ken not barbie and ken and that is kenough the film concludes on the note that the kens will eventually have equal power when women in the real world have equal power barbieland is still a matriarchy but we could hope it operates in an equal society like we all aspire to live in an equal society in the real world i would like to agree with you on the fact that they should all men are trash and that it is too matured a theme for little kids however to go to the movies and watch this film as an adult was nostalgic because it was like being a little girl again and it was entertaining greta gerwig made a satire and not a comedy,http://www.youtube.com/channel/UCR8al5d2OwgTvh6vC9QaokQ,0.9823,positive,True
231,@cradleofanal,26/8/2023,13:53:16,0,i thought it was a parody of the whole theme with feminism and the patriarchy but i dont know why they made the movie like this serious sometimes im very confused,http://www.youtube.com/channel/UCDaXw0WU0CBOPwfFcIMGvyQ,-0.1783,negative,True
234,@matul3808,26/8/2023,0:09:33,0,"youre really smart and bring a lot of good points but you also blow the smaller bad points the out of proportion so much that i couldnt even finish the video you said that the barbie move portrayed women as dumb but in the beginning they showed madam president the female supreme court construction workers all of which is happening in todays time so which is dumb the movie showing the women running the world or that in reality women are already doing these things in real life to me that whole entire point was beyond contradictory

that was just one example but i get it you work for a company we all do but i feel like this was one of the videos you really didnt have to make seeing as how the barbie movie went over a lot of great things not just bad ones and honestly the barbie movie didnt even portray the patriarchy that much that was only towards the end  climax of the film",http://www.youtube.com/channel/UCv8o9gicC-Ptg0kAjV02ADw,0.8114,positive,True
240,@user-cd9jk3lc7y,25/8/2023,13:07:42,0,oppenheimer is about 80 political and was still less political than barbie the opposite of misogyny is misandry,http://www.youtube.com/channel/UCxxAizuWCz9xzK1y_evgb_g,0.0,neutral,True
241,@itsshayna6230,25/8/2023,8:27:39,0,i havent watched the video yet but my issue with the movie is that it doesnt solve the biggest issue its addressing shouldnt we try and live in harmony where womens strengths are able to shine as well as mens like what am i supposed to feel like having just seen it hopeless angry at men its target audience is women but its message is for men idk it just felt all over the place every character had to say something about the patriarchy which felt like overkill and while there are many countries where women are viewed as less than men the countries this movie will predominantly play in are advanced enough i feel like if youre a women with a skill set you can do well for yourself not feeling like enough isnt a female issue its a human issue you cant please everyone i think it would have been more interesting if instead of barbie going into the human world she makes barbieland work for her going into the career she wants it felt like it was either barbies or kens taking over and the fact she went to the real world after going through everything she did to fix hers felt so disappointing only to make the joke about loving her gynecologistwhy couldnt kens and barbies just went into the careers and lifestyles they wanted and compromised when needed that would have felt way more empowering imo,http://www.youtube.com/channel/UCs0XpKQJB23cos9BCg61-mg,0.9723,positive,True
244,@1lordgray,25/8/2023,1:16:24,0,i loved playing with barbie as a girl and i relate to the character of the mother americas speech made me cry because i felt it am i enough isnt something that the patriarchy necessarily puts on us but some of these beliefs are what some women feel we are too hard on ourselves we want the perfect figure perfect life perfect house job car children spouseetc but it is subjective perfect doesnt exist we are human with ups and downs our bodies hijack us with hormones or lack there of during lifes stepping stones puberty pregnancy menopause we are constantly changing evolving mentally emotionally and physically and while barbie seems to be able to do it all the truth is some of us struggle to do even half thats what i interpret americas character feeling that she was trying but somehow failing herself and her daughter because they werent close and her life was dull and filled with stress,http://www.youtube.com/channel/UCoggpK71ZXt69FIeRh2iH4A,0.8735,positive,True
246,@madelynabeyta7205,24/8/2023,22:26:25,2,hi amala thank you for your thoughts i have not seen the barbie movie and after hearing such mixed things i have determined that i never want to see it because there is no way i am wasting two hours listening to feminist propaganda i love hearing a fellow woman critique the message and the way it is portrayed without seeing the movie i am already seeing the contradictions women can be anything and it is impossible to be a woman cannot both be true i hate that people are trying to tell me that if i want to go far in life as a woman rather than get off my butt and work for it i have to whine and complain about how my life is so hard compared to that of men and i cant possibly do anything about it because i dont have agency that is not empowering i am so sick of it and to everyone that thinks what the movie is really trying to say is that neither a world run by women nor one run by men is a good thing i ask you this then why at the end did it not show what happens when women and men come together and form a cohesive society where we both contribute and live in harmony if thats the point then why didnt the satire ever end it show what should really happen why is the real world portrayed as a patriarchy because that sure is not the world we live in stop trying to be a victim and get up off your lazy whiny arse and do and be what you want,http://www.youtube.com/channel/UCwp-dIVD0CQ4UU5M71wxs2A,-0.9146,negative,True
261,@JJ-dc1uj,22/8/2023,20:30:59,0,i was really expecting more equality in the movie at the end not crazy feminism we need to love and embrace man because the era we live in is veryyyyyy different from 100 years ago times changes i did love all the girly things and pink color i did like that,http://www.youtube.com/channel/UCZFcwAP6j2VHykNIIx3KETg,0.9353,positive,True
264,@LoCooperPDX,22/8/2023,18:59:10,182,"omg i felt the same way about the chevy product placement  

i actually thought the movie made fun of wokenessin some ways i appreciated the way they portrayed the daughters wokenessbecause they made her look super snarky with how quick she was to jump to conclusions cancel barbie calling her a fascist etc and how she was wrong about it in the end 

on another note i think its a bit ignorant to say the patriarchy doesnt exist sure the movie exaggerated it but i think the point is that matriarchy  man hating isnt the answer either i thought the movie was mostly about being antiextreme and finding middle ground at least thats what i took away from it",http://www.youtube.com/channel/UChXW7CRnA94Yfh-rq78cZNQ,-0.6986,negative,True
277,@aryaviswanath3716,21/8/2023,6:48:59,79,"your opinions are delightful to watch even when i dont agree with them  like i loved barbie and i think they wanted to say its okay to be who you are  extremes 
like matriarchy or patriarchy create problem balance and acceptance are important 
i congratulate you on your effective communication skills thoughhttpwwwyoutubecomchanneluc1slzytnmpgvasrsbhhcw
280kiwilele20230821t064536z1the irony of it being a feminist film while casting trans actresses to play women but only one of the 30something roles went to a transwoman do you not think transpeople should be cast in any films at all not really sure what the point was here",http://www.youtube.com/channel/UC_6eNgaNaQ-1OkVO9gELOPw,0.8529,positive,True
286,@DramakilzU,20/8/2023,22:32:00,1,i liked ken and im a guy i thought the movie was just absurd enough that the whole guys ruling the world thing was making fun of the idea of patriarchy especially when the kens get powerhungry in barbie land and while yes they did make a moral statement about how males or females having too much power is bad i think it was also a subtle joke on societys obsession with equality when you have things like using various barbie vehicles to traverse from one universe to another its hard to take the movie seriously,http://www.youtube.com/channel/UCyBcJl9JCojpyjx6PBxsM6A,0.6705,positive,True
305,@alexandriamatthews9507,19/8/2023,8:48:26,0,i think that the movie seems to show the flaws in both the patriarchy and the matriarchy and that there should be balance between both sides ,http://www.youtube.com/channel/UCi5XEu-Z4mAXrHtatz5Ym6w,0.0,neutral,True
306,@vision7753,19/8/2023,8:03:05,0,the beautiful packed agenda of feminism and wokism with pink paper and told people if you hate this you are not a good human being,http://www.youtube.com/channel/UCFVwDbH_YwomQ-ll5IAm46Q,-0.2973,negative,True
316,@elizabethmcdaniel4450,19/8/2023,0:22:40,1,i usually like your videos because they speak reason in a sea of madness but i think you missed the mark on this one it sounds like you went into this planning to hate it and refused to acknowledge any of the good points it made no it wasnt perfect and some of the messages werent 100 correct or well executed but some of the more subtle ones were really beautiful it wasnt quite as woke as youre painting it and to say that women havent been oppressed by men at all ie the patriarchy is a total lie is simply not true there are a lot of ugly realities women have to deal with and i think this movie did a good job of shedding a light on that particularly with how even the stereotypically perfect barbie isnt good enoughto please everyone and how distressing that is this film was nuanced and seems like all you hit on were the negative points if youre going to pose yourself as someone that has the authority to have such a strong opinion about the movie and its messaging take the time to unpack it all and do it justice this feels like a hasty reaction rather than a wellthought out digested response it also sounds like you may have completely missed the satirical aspect of it its fundamentally a satire which changes how its meant to be understood,http://www.youtube.com/channel/UCQvONtOkx0JjEGX8-K4olpw,0.7604,positive,True
320,@b.bailey8244,18/8/2023,19:58:43,0,thank you i really felt that i would not like this movie  the same way that i did not like avatar while almost everyone else seemed to eat it up im glad for the spoiler  now i know there is nothing in this movie for me except the beautiful set  but then again i can do shallow and cardboard cutout plots and just enjoy the scenery the ending is cool after realizing that neither patriarchy or matriarchy is balanced or healthy she goes out into the real world so that is hopeful i guess i will go see it even though a big part of me knows that ill be in a club that i dont wanna be in  same as in avatar  which was so bad i couldnt believe it i usually find myself laughing when no one else is and not laughing so much when everyone else is good analysis and yes things are terminally woke which just plays into all or nothing thinking and doesnt go deeper than us or them,http://www.youtube.com/channel/UC3vV3mty0cX7VdchmF1GjyQ,0.9409,positive,True
330,@connieaguayo9591,18/8/2023,4:36:20,0,i give it an f feminism,http://www.youtube.com/channel/UCYsCMe9bdLyG6P8zYyVRnzA,0.0,neutral,True
333,@birdsteak9267,18/8/2023,2:19:06,0,"the only thing the movie barbie proved to me is that people need to stop taking life lessons history lessons etc from movies why would anyone hollywood is a propaganda machine they arent interested in teaching anyone how to think just what the propaganda machine wants you to think and there are huge lacks of nuances and fair representation of all parties when they try to give us a message 
go buy books philosophical books about life or the ethical metaphysical aesthetic and theological from the old world the renaissance the 19th century and the early 20th century different types of literaturepoetry and actual history books etc whether it is from nietche platon knut hamsun peter wessel zapffe arne nss henrik ibsen asbjrnsen and moe benjamin hijer esaias tegnr mary astell margaret cavendish catharine trotter cockburn anne conway jacques rousseau baron de montesquieu

heck why not mein kampf and the red manifesto other books published by the frankfurt school at least if you want to learn about the villains in history past and present at least read what they actually wrote preferably get proper translated versions 

you learn more from everything i shared here than you will ever learn from hollywood even in school  i would also get books about engineering mathematics etc as well and skip einstein",http://www.youtube.com/channel/UCvBYBJJImUhNPblgS9zLW3Q,0.3699,positive,True
335,@danielle6470,18/8/2023,1:09:10,0,seems like a good movie to see if you openly hate men otherwise known as modern feminism,http://www.youtube.com/channel/UCR_4SFZXP2zZpWhST6u_SlQ,0.1779,positive,True
