Order,Reviewer_Name,Date,Review,Sentiment Score,Sentiment Category
18,herrcarter-92161,23-Jul-23,my 15year old daughter wrote the following review and posted it to my imdb accountas a barbie fan i was very excited for this movie i was expecting a lighthearted goofy comedy instead i got a movie that felt as though it didnt know where it was going or what it was doingthe movie starts of as a fun goofy comedy then things start changingthings start going wrong for barbie and she has to go to the real world to fix it she is supposed to help the person who has been playing with her to fix her problems in barbie land this on its own wouldve been enough for a movie but it keeps goinginstead of going in depth about the life of the mother who has caused these problems for barbie the movie goes off in a totally different directionken sees the real worlds patriarchy and goes back to barbie land to replicate it barbie has to go back to barbie land to save it from its new patriarchyby the end of the movie barbie decides to live in the real world the kens of the barbie land are basically back to as little power they had before their uprising i find the treatment of the kens at the end to be hypocritical compared with the movies supposed messaging about equalitythis movies writing and plot were bad even as a feminist i acknowledge that the messaging was terribly preachy i feel as though many of these different plot ideas couldve been good on their own they are just too confusing all togetheron a good note the acting and sets in this movie were really good i loved seeing the plastic barbie houses lifesized the movie was also very funny at parts i just wish the movie picked a clearer direction,0.9566,positive
19,cmdown-50506,29-Jul-23,i have been waiting for this to release for so long and i finally got to watch it today i absolutely loved it it was fun it had margot robbie and extra stuff for tarantinos out there if you know what i mean and it had some absolute bangers what more could you want from a new summer classichonestly the depth of the story aint there but what do you expect from a film about a barbie lol ill probably go back and watch it again tbh and ill probably purchase it once it releases on blu ray as i did rather enjoy it seriously my mouth hurts from smiling and laughing there are some touching moments where robbie really shines i just wish there were a little more because as everyone i absolutely adore margot and her filmsanyway barbie is a blast its a definite recommend on my list,0.9736,positive
20,popyoshi-36312,6-Nov-23,completely forgot to review this the sets are easily the best theyre really gorgeous to look at the characters are fun to watch and the characters are all really enjoyable the movie gets a bit preachy but only for one scene i also think the movie is slightly contradictive as every male character is treated as dumb and arrogant despite them promoting equality its done for jokes though so i know its not meant to be an actual message with the humour i just think it weakens the messaging of the film its still a really really good film the ending is super sweet and meaningful and overall its a great movie especially considering this is a movie about barbie dolls lmao i personally didnt find it to funny but i still appreciate it for its charm and most of its storytelling,0.992,positive
21,tm-sheehan,19-Jul-23,"my review  barbie
in cinemas now
my rating 6510ive been keenly looking forward to seeing this much publicised movie because im a great fan of margo robbie ryan gosling and greta gerwigs worki held the opinion from first hearing about it that it was either going to be brilliant and id love it or a huge disappointment and id loathe it in other words no in between for mehow ever thats not the case i didnt love it and i didnt loathe it i have to accept that i
just didnt get it perhaps its because that im a 70 plus baby boomer male who felt that the strong feminist message directed towards the predominantly heterosexual male patriarchy for me was just preaching to the converted barbie is a comedy fantasy which certainly packs a not so subtle feminist smack in the face of the men who devalue the equality and contribution that women play in our society but they wont see barbiethe audience on this special preview was young mainly women and they seemed to get the jokes that i didnt and seemed to react very well to the movie applauding at the conclusionno spoilers about the plot you should judge it yourself as the story is not as simple as the trailer portrays it to be barbie and ken leave the other barbies and kens behind in barbieland to venture through a portal caused by a stereotypical barbie played to perfection by margo robbie  barbie is experiencing disturbing emotions that she has to explore further in the real world of humans to understand in an effort to retain her eternal optimismken her buff nerdy and needy boyfriend played by ryan gosling joins barbie on her quest to travel through the portal landing at venice beach california complete with roller skates only to discover that the values and gender roles of barbie land are reversed in the real world  the question for both the surprised dolls is which world do they want to live inpink cloud sunny barbie land where every day is the same and perfect or the human world of corporate greed and misogyny where you grow old and diemargo robbie and ryan gosling both are impressive and their comedy timing adds a light touch to the darker undertone of the filmbarbie for me has some entertaining moments but they were melting moments for me and while i hope its popular for the creators of the movie im left puzzled at what audience its aimed at the male population that greta gerwig cleverly parodies through ken and his ken buddies certainly wouldnt see her movie and i think the disney generation of under 15 would be bored i did enjoy the technical aspects of barbie and the incredible amount of research and effort that has gone into producing this very expensive would be box office blockbusteri also enjoyed homage to great movies of the past like stanley kubrics 2001 a space odysee  saturday night fever and of course the wizard of oz its one of the most anticipated movies of 2023 and has been in the pipeline for over a decade and in 2018 after little action was passed into the hands of warner bros then in 2019 they finally announced margot robbie and greta gerwig as the lead actordirector duo for this filmdirector greta gerwig co wrote the screenplay with her partner with noah baumbach basing their story on the famous barbie fashion dolls by mattel  it is the first live action barbie film so a lot of creative reputations are dependent on its success mattel the toy company that created barbie obviously approved of the movie getting screen credit and representation in greta gerwigs clever perhaps to clever scriptmattel contributed input towards the set design of the film keeping the oldschool charm of the barbie world intact and i suspect there will be a surge in sales as all the famous barbie dolls get a mention in this filmnoah baumbach is executive producer as well as his partner greta gerwig and margo robbie the movies effervescent star are all producers on this project that has an estimated production budget of 145 million usmargo robbie has been quoted as saying that the films aim is to subvert expectations and give audiences the thing you didnt know you wantedim not so sure about that statement as barbie didnt reach my expectations and i felt the thing i didnt know i wanted wasnt what i wanted at alltop marks to cinematographer rodrigo prieto who created a unique color palette for the film that greta gerwig named technibarbie after the technicolor format also top marks to two time academy award winner designer jacqueline durran its a given that costumes would be one of the most important factors about the movie",0.999,positive
22,imdbmovieguy,21-Jul-23,i really enjoyed the first 20 minutes of the movie it was very upbeat positive and light however things soon became negative about 20  25 minutes into the movie i couldnt stand it barbies world and attitude was a constant bummer kens attitude was sour for the next hour and more the movie just lived in negativityi bought tickets to this show a month ago and i saw it the day before the official opening day i was very excited about this movie and i was playing the music dua lipa song almost every day i was really excited for this movie  and was looking forward to something very positive but the vast majority of the movie was the conflict part of the writing it was just too much the movie didnt need to go that way that far that fast i would have preferred a more shallow and fun barbie movie vs this barbie movie filled with over an hour of conflict,0.7245,positive
23,GhostFoxX,24-Jul-23,i personally expected the movie to be fun and adventurous correct me if im wrong but isnt that what it is supposed to be its literally a movie about barbie instead it felt more like an agent of woke culture and basically mattels the company that produces barbie dolls way of capitalizing the emotional aspect of the cinephiles to make their business more popular and trendier it continuously tried to portray the fact that mattel is no more producing white barbie dolls it is now producing dolls of all colors and races well that is definitely a good thing but making most of the movie focus on that aspect felt very boring and wrong if they didnt quite make a movie that is fun and adventurous why make the marketing events misleading they couldve just focused on the audience for whom it was made rather than on the entire world through their absurdly irrelevant marketing events that made the world think that this movie is going to be all about fun and adventure sadly it was not nearly as enjoyable as the misleading marketing made it seem,0.9358,positive
24,anjamulder,19-Jul-23,this is very much a movie that will get devided opinions on it my cousin said well this is two hours of my life i will never get back and me i left the theatre in such a good mood it was the sense of humor for me laughed so hard specially ryan gossling was sooooo good and funny many familiar faces to spot also and margot robbie come on the perfect casting for barbie i also have to say the way they created barbie land was so amazing it just makes you just want to there i dont really have anything bad to say about this movie i can understand not everyone will love it but i am sure it is a iconic film already,0.8964,positive
25,njamesgentry,17-Sep-23,margot robbie was born to play barbie of course shes incredibly beautiful talented funny and hip however i didnt have some lifealtering epiphany like so many others did i actually thought the film was way too cheesy 45 minutes too long and also confusing at times i love the originality and strong feminist viewpoint the idea of ken learning about misogyny and sexism essentially bringing these twisted ideas to barbieland leading all barbies to succumb to a more subservient role while ultimately forcing them to rediscover their own power talents intelligence and individuality but after an hour or so i kept thinking why cant barbie just sing a song i wanted a fluffier comedic barbie while what i got was a doll having an existential crisis it was depressing at times the cast was phenomenal of course i just didnt expect it to be such a mess in terms of storytelling,0.6146,positive
26,ambusched94,13-Sep-23,the film opens strongly with margot robbie and ryan gosling delivering compelling performances their star power and acting prowess add depth to the movie however as the film progresses and barbie encounters her human counterparts in the real world the thin plot becomes more noticeable some viewers might have preferred a subtler approach to delivering the political message as the film can be seen as overly direct leading to a polarizing and preachy tone this approach aligns with the directorial style and screenplay motifs commonly associated with greta gerwigthe production design of barbie land is visually captivating offering a feast for the eyes the music soundtrack featuring a standout disco track by dua lipa complements the film well dua lipas cameo as mermaid barbie is a highlightthe film incorporates satire and selfaware humor which adds depth to the story however the humor doesnt consistently land and some moments feel forced the character stereotypical ken provides sporadic moments of humorin summary barbie is a film worth watching at least once it includes an empowerment monologue delivered by america ferreras character addressing societal expectations placed on women while there is still some double standard in gender role expectations it is less prominent in todays society compared to the past,0.8024,positive
27,AvionPrince16,19-Jul-23,im not really disappointed or love the movie to be honest it was kind of weird and strange at the beginning we understand it later because we are in the barbie world so they played with the culture reference of the barbie the dolls and what they represent an ideal world with where the womans are in power things will get pretty normal after they enter the real world and all the problems sexual remark womens and their place in society the inequality with mens i was pretty sure they will talk about the problems with womans and their complex because of barbie and the perfect women she is and how this is contrasted with the real world its pretty obvious that they will talk about it i love also how ken will also notice how mens are more powerful in the real world its like everyone see that reality is not really what they perceived themselves in their own reality and power will shift also later in barbie land i understand why they act like this and stuff but i didnt really get into the movie to be honest i only identify myself when they talked about society and business but all the musical things the choregraphy and even the morality was kind of superficial but i enjoyed that barbie realised the problems of our world and compare to her own some moments was funny and some more serious or drama sometimes even if its pretty soft because we are in barbie land i mean i spend a great time but it was kind of ok and i still think its a great barbie movie the task was not easy to represent that world but i enjoyed the set design the colors the camera movements i think people who played with barbie dolls or just know the universe will be happy they have a lot of references to the world and a lot of barbie references to the dolls and the differents clothes and the impact of her in society some moments were also absurd  the fight with all the kens its good anyway,0.9955,positive
28,arslanmanzoor123,21-Jul-23,some friends freaking out that i went to see barbie lol i mean i mentioned i went coz my sister insisted since ages anyway the movie was bad these days every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that i wished i had gotten the ticket for oppenheimer in the same timings as my sisters barbie show other than that the acting done by margot robbie and ryan gosling was great so cant take that away from them they did justice to their roles,0.8957,positive
29,dreopdreef,19-Jul-23,the concept of a barbie movie is really unique and got me all exited but unfortunately to me it delivers the same messages that we keep hearing as of latelyit started off quite funny but after 45 minutes or so the movie went in a direction i did not like it took itself a bit too serious i would have preferred a more lighthearted movieryan gosling did the best job out of everyone playing ken i thought the perfect guy with the perfect body and yet very campy girly and insecure job well done especially toward the endif you are a fan of barbie you will probably get your moneys worth,0.9789,positive
30,spika13,25-Jul-23,its like watching at trumans show but all the set its pink color with a hint of extreme feminist ideas i grew up with barbie dolls and i felt very disappointed i was expecting a different kind of story the ending was the worst i think the message should be more with the real feminist concept of simone de bouvoir we all deserve the same rights in the end instead of just barbie land they should changed as barbie and ken landdefinitely is not the best movie of gretai enjoyed the music the set and loved the clothes although i excepted to hear the aqua song why it wasnt played in the movieanyway its not a bad movie its just good movie,0.2094,positive
31,max-850,27-Aug-23,i believe i came to this movie with an open mind in my opinion a movie balled barbie needs to be a comedy and while there were pieces here and there that were funny for the most part we and everyone in the theater only laughed occasionally the production design and costumes are great the screenplay is the weakest part the direction is next weakest and those two caused a great cast to overact when this movie takes itself seriously it gets tedious its preachy we are constantly being told what we are seeing and what we should think about what we are thinking this is not engaging why cant we think for ourselves based on what we see i hated being treated like a ten year old and being spoonfed the morals thoughts and feelings but then maybe the target audience is tenyearolds in any event i thought it would never end by the time they were talking about ordinary barbie all i could think was sanctimonious barbie,0.418,positive
32,badreviewer,1-Aug-23,yes day by day it becomes more obvious that now the movies are made just because of the income they generate and nothing else ok barbie itself was not a creative idea i know and actually i didnt expect to see something unseen something unique in the first place all in all its barbiebut wouldnt you agree with me in that it could have been excelled better it totally could have been this movie has a huge budget then why such a mediocre story at best im not saying it was a bad movie as well but it was just ok just thatnowadays movies have become nothing else but liveactions sequels and prequels now it seems like the only thing matters is to have known faces in your movie and the promotions and creating a story and excelling it good became the least important components of a movie unfortunately barbie does not fall short in these criterias,0.9542,positive
33,maxlagerholm,15-Sep-23,they really did some fantastic marketing with this movieits not exactly bad its just mediocre its very pretty to look at and some of the music is actually quite funny and fittingbut this is nowhere near what was advertised its not a fun jokey movie that brought homage to old movies some saterical jokes etc its that followed by story with heaaaavy messaging followed again by a quick jokehowever none of it is funny or interesting enough to justify its runtime the ending in particular was very obvious and just kept going its so clear they want you to feel something but you dont its just not interesting enough with the story they out forth and how long the ending goes on for,0.8084,positive
34,jacquihives,23-Jul-23,i loved barbie growing up and even at 42 years old i couldnt wait to go see the movie i didnt have any expectations because i had no idea how they could make a movie about barbie thats for adults and not kids i adored barbieland but unfortunately they leave it behind so fast and with it they also leave behind everything good about bringing barbie to life in a movie it got silly had no storyline was overly political and woke man bashing and made men silly and i really didnt care for the ending which is just as well because it was abrupt and crudethe music is good but i wasnt prepared for a musical and it became that for some unknown reason at one pointryan gosling as ken stole the show he looked like he was having the time of his life making this moviemargot robbie is perfect as barbie but it wasnt that interesting to watch and i didnt understand why she was being forced to get in the box and what would happen if she did get in,0.4413,positive
35,DoNotComeToTheCinemaDepressed,22-Jul-23,i understand that some people are going to have big big problems with some of the messaging within this film but sometimes in life  you just have to go with ithashtag number 1 lesson you should take from this film build hone grow and then come together and become kenough both guys and girlsgreta gerwig nailed this thingi was just sitting their watching it and i was like man im actually enjoying what the hell is going on here things i liked about the film 1 firstly the plotline and more importantly the execution of this plotline is great imo its interesting and kept me engaged from point to point it hits the points it needs to hit with its comedic tone and some serious moments too the balance is laced in and out of the film and is just about perfect again people are going to have problems with certain things2 secondly the aesthetics are so good it is such a unique watch you wont see anything like it what a watch what a time to be alive3 the tone  and the way much of the dialogue is delivered is fitting for this film4 the cinematography and some of the shots at times are so good its gorgeous5 margot robbie literally perfects this role as barbie her acting her tone her look  not to mention some of her costuming pink cowboy outfit  makes her look out of this world6 ryan gosling nails it he was absolutely hilarious at times especially in the 3rd act7 much of the comedy landed for me comedy is subjective so also some didnt and from what i heard it landed for a lot of the audience i was with beached off wasnt funny but after that the laughs started coming in 4th wall ugly joke margot is the wrong example for this was the biggest laugh in the theatre 8 so to summarise i really liked the beach battle the dance scenes the plotline the comedy the tone the aesthetics and the atmosphere in that theatre whilst watching this thingfrom what i watched it was well put together well excecuted and everything came together so well and that cherry on top quip  from margot robbie was just overall if you have problems with the some of the messaging you will not enjoy it bottom line guys you dont have to agree or take any of the messaging to heart just go with it become kenough and extract that entertainment factor for your own enjoyment ladies take some of the positive messages from this film because there are some genuinely positive messages in here,0.9979,positive
36,adamblackshaw-14445,29-Aug-23,barbie is a great example of hype over substance it is laugh out loud at times and gosling steals every scene hes in the art direction is on point what makes it tiresome is the message pummelled into the audience but then were we expecting any subtly probably not ultimately my wife just thought i already know this i dont need to hear it but maybe some women do i get her point in the end it felt like we were being sold barbie dolls as some kind of icon of feminism but seriously they are a very poor example of female role models not surprisingly mattel was one of the producers,-0.4627,negative
37,moviesgamesandvideos,9-Sep-23,the film does not live up to the marketing its about as subtle as a steamroller and deep as a puddle there must be primary school books with more depth and nuance than this filmthe music is good and the plot moves along at pace but its like it was written by an angsty tween yay feminism is about as deep as the message gets and its pretty much the entire purpose and plot of the film it doesnt offer up anything to think about just a bubblegum world that is just a carbon copy of the toyswith all the barbenhiemer hype and marketing i expected more from the movie oppenheimer and barbie are about as polar opposites of filmmaking as its possible to get,0.9337,positive
